date,close
2019-05-24,14206.229
2019-05-27,14382.317
2019-05-28,14611.563
2019-05-29,14641.8
2019-05-30,14657.449
2019-05-31,14572.829
2019-06-03,14584.687
2019-06-04,14337.397
2019-06-05,14290.063
2019-06-06,14042.729
2019-06-10,14298.845
2019-06-11,15048.406
2019-06-12,14853.828
2019-06-13,14801.304
2019-06-14,14691.881
2019-06-17,14542.401
2019-06-18,14681.785
2019-06-19,14772.749
2019-06-20,15207.083
2019-06-21,15130.536
2019-06-24,15265.382
2019-06-25,15162.149
2019-06-26,15124.381
2019-06-27,15361.764
2019-06-28,15349.574
2019-07-01,15982.891
2019-07-02,16054.183
2019-07-03,15658.556
2019-07-04,15428.098
2019-07-05,15842.55
2019-07-08,15647.579
2019-07-09,15677.116
2019-07-10,15693.753
2019-07-11,15646.612
2019-07-12,15763.055
2019-07-15,15816.882
2019-07-16,15608.428
2019-07-17,15609.522
2019-07-18,15402.141
2019-07-19,15554.089
2019-07-22,15458.799
2019-07-23,15352.894
2019-07-24,15363.756
2019-07-25,15518.514
2019-07-26,15460.883
2019-07-29,15650.86
2019-07-30,15621.198
2019-07-31,15432.101
2019-08-01,15362.991
2019-08-02,15289.557
2019-08-05,15117.301
2019-08-06,14996.082
2019-08-07,14905.19
2019-08-08,15104.601
2019-08-09,14809.319
2019-08-12,15154.265
2019-08-13,15071.776
2019-08-14,15245.447
2019-08-15,15227.283
2019-08-16,15429.722
2019-08-19,15489.783
2019-08-20,15570.313
2019-08-21,15460.172
2019-08-22,15718.951
2019-08-23,15776.761
2019-08-26,15566.231
2019-08-27,15927.585
2019-08-28,16145.563
2019-08-29,16222.676
2019-08-30,16429.131
2019-09-02,16432.613
2019-09-03,16400.074
2019-09-04,16254.044
2019-09-05,16379.785
2019-09-06,16237.797
2019-09-09,16186.56
2019-09-10,16187.414
2019-09-11,15643.833
2019-09-12,15821.25
2019-09-16,15787.072
2019-09-17,15685.124
2019-09-18,16014.105
2019-09-19,16007.708
2019-09-20,16114.937
2019-09-23,15881.363
2019-09-24,15963.379
2019-09-25,15885.589
2019-09-26,15534.438
2019-09-27,15675.178
2019-09-30,15584.185
2019-10-08,15813.876
2019-10-09,15721.278
2019-10-10,15892.344
2019-10-11,15907.654
2019-10-14,15939.056
2019-10-15,16058.471
2019-10-16,15783.176
2019-10-17,15804.631
2019-10-18,15673.76
2019-10-21,15810.485
2019-10-22,15893.261
2019-10-23,15752.982
2019-10-24,15605.13
2019-10-25,16010.85
2019-10-28,16161.697
2019-10-29,16384.791
2019-10-30,16297.034
2019-10-31,16323.025
2019-11-01,16389.9
2019-11-04,16481.619
2019-11-05,16617.154
2019-11-06,16379.38
2019-11-07,16495.922
2019-11-08,16435.615
2019-11-11,16231.844
2019-11-12,16299.053
2019-11-13,16370.602
2019-11-14,16382.359
2019-11-15,16180.334
2019-11-18,16243.894
2019-11-19,16397.236
2019-11-20,16345.011
2019-11-21,16297.199
2019-11-22,15957.084
2019-11-25,15880.437
2019-11-26,16030.46
2019-11-27,16009.82
2019-11-28,15945.923
2019-11-29,15624.789
2019-12-02,15725.66
2019-12-03,15699.385
2019-12-04,15701.695
2019-12-05,15720.108
2019-12-06,15946.742
2019-12-09,15847.362
2019-12-10,15742.84
2019-12-11,15595.981
2019-12-12,15499.824
2019-12-13,15704.618
2019-12-16,15621.224
2019-12-17,15837.126
2019-12-18,15787.449
2019-12-19,15686.114
2019-12-20,15696.126
2019-12-23,15546.067
2019-12-24,15574.609
2019-12-25,15466.539
2019-12-26,15472.707
2019-12-27,15707.53
2019-12-30,16010.711
2019-12-31,16123.036
2020-01-02,16205.794
2020-01-03,16071.926
2020-01-06,16069.281
2020-01-07,16439.045
2020-01-08,16359.546
2020-01-09,16531.541
2020-01-10,16542.902
2020-01-13,16791.479
2020-01-14,16636.383
2020-01-15,16661.344
2020-01-16,16685.293
2020-01-17,16561.867
2020-01-20,16526.973
2020-01-21,16164.801
2020-01-22,16101.558
2020-01-23,15440.828
2020-02-03,14228.676
2020-02-04,14610.398
2020-02-05,14845.29
2020-02-06,15254.298
2020-02-07,15381.328
2020-02-10,15573.786
2020-02-11,15714.011
2020-02-12,15777.158
2020-02-13,15682.952
2020-02-14,15822.6
2020-02-17,16055.392
2020-02-18,15980.074
2020-02-19,16165.021
2020-02-20,16486.441
2020-02-21,16398.988
2020-02-24,16237.818
2020-02-25,16201.36
2020-02-26,16082.27
2020-02-27,16282.464
2020-02-28,15660.176
2020-03-02,16095.612
2020-03-03,16279.984
2020-03-04,16530.932
2020-03-05,17247.094
2020-03-06,16976.314
2020-03-09,16496.869
2020-03-10,16791.859
2020-03-11,16732.385
2020-03-12,16264.514
2020-03-13,16054.599
2020-03-16,15345.726
2020-03-17,15196.72
2020-03-18,15062.936
2020-03-19,14897.388
2020-03-20,15226.551
2020-03-23,14818.461
2020-03-24,15319.178
2020-03-25,15661.188
2020-03-26,15672.298
2020-03-27,15761.263
2020-03-30,15750.968
2020-03-31,16411.316
2020-04-01,16196.942
2020-04-02,16332.284
2020-04-03,16450.439
2020-04-07,17033.842
2020-04-08,16832.219
2020-04-09,16901.764
2020-04-10,16906.545
2020-04-13,16748.85
2020-04-14,17083.572
2020-04-15,16913.564
2020-04-16,16821.797
2020-04-17,16989.811
2020-04-20,17091.975
2020-04-21,16864.287
2020-04-22,17390.645
2020-04-23,17446.443
2020-04-24,17476.367
2020-04-27,17610.979
2020-04-28,17909.537
2020-04-29,17530.52
2020-04-30,17446.717
2020-05-06,17616.861
2020-05-07,17818.67
2020-05-08,17910.684
2020-05-11,17687.354
2020-05-12,17858.428
2020-05-13,18087.844
2020-05-14,17831.277
2020-05-15,17708.885
2020-05-18,18173.137
2020-05-19,18184.748
2020-05-20,18007.111
2020-05-21,17966.264
2020-05-22,17499.391
2020-05-25,17876.039
2020-05-26,17946.461
2020-05-27,17769.035
2020-05-28,17699.518
2020-05-29,17971.9
2020-06-01,18437.834
2020-06-02,18327.172
2020-06-03,18228.359
2020-06-04,18372.436
2020-06-05,18350.189
2020-06-08,18455.268
2020-06-09,18611.955
2020-06-10,18577.92
2020-06-11,18197.857
2020-06-12,18323.121
2020-06-15,18184.078
2020-06-16,18376.832
2020-06-17,18416.564
2020-06-18,18554.252
2020-06-19,19001.775
2020-06-22,18943.99
2020-06-23,19217.762
2020-06-24,19221.377
2020-06-29,19324.479
2020-06-30,19599.047
2020-07-01,20208.697
2020-07-02,20540.822
2020-07-03,20523.641
2020-07-06,21217.715
2020-07-07,21689.242
2020-07-08,21854.256
2020-07-09,22245.363
2020-07-10,22299.355
2020-07-13,23236.146
2020-07-14,23251.588
2020-07-15,23504.607
2020-07-16,21680.381
2020-07-17,22127.375
2020-07-20,22112.961
2020-07-21,22467.764
2020-07-22,22760.734
2020-07-23,22793.053
2020-07-24,21900.195
2020-07-27,22153.369
2020-07-28,22852.398
2020-07-29,23093.033
2020-07-30,23234.529
2020-07-31,23308.814
2020-08-03,23585.674
2020-08-04,23495.197
2020-08-05,23780.146
2020-08-06,23283.002
2020-08-07,23047.227
2020-08-10,23064.543
2020-08-11,23133.268
2020-08-12,22783.557
2020-08-13,22900.328
2020-08-14,23275.348
2020-08-17,23596.949
2020-08-18,23878.186
2020-08-19,23821.436
2020-08-20,23377.109
2020-08-21,23740.807
2020-08-24,24146.357
2020-08-25,24453.824
2020-08-26,24359.34
2020-08-27,24723.412
2020-08-28,25507.893
2020-08-31,25583.086
2020-09-01,25559.596
2020-09-02,25656.984
2020-09-03,25493.594
2020-09-04,24902.295
2020-09-07,24078.402
2020-09-08,23769.236
2020-09-09,23070.447
2020-09-10,23242.436
2020-09-11,23567.916
2020-09-14,23636.424
2020-09-15,23775.811
2020-09-16,23390.928
2020-09-17,22931.182
2020-09-18,23307.262
2020-09-21,22986.939
2020-09-22,22808.852
2020-09-23,22863.572
2020-09-24,22479.443
2020-09-25,22569.959
2020-09-28,22628.521
2020-09-29,22786.217
2020-09-30,22860.025
2020-10-09,23316.881
2020-10-12,24291.816
2020-10-13,24536.609
2020-10-14,24339.867
2020-10-15,24119.148
2020-10-16,23924.568
2020-10-19,23575.41
2020-10-20,24120.275
2020-10-21,24079.727
2020-10-22,24088.096
2020-10-23,23478.186
2020-10-26,23315.168
2020-10-27,23483.33
2020-10-28,23957.502
2020-10-29,24475.094
2020-10-30,23696.273
2020-11-02,23735.693
2020-11-03,23998.875
2020-11-04,24063.162
2020-11-05,24457.271
2020-11-06,24197.041
2020-11-09,24658.014
2020-11-10,24760.342
2020-11-11,24605.426
2020-11-12,24570.969
2020-11-13,24162.707
2020-11-16,24707.443
2020-11-17,24404.637
2020-11-18,24240.965
2020-11-19,24542.771
2020-11-20,24709.512
2020-11-23,24890.633
2020-11-24,24818.451
2020-11-25,24159.139
2020-11-26,24230.359
2020-11-27,24457.244
2020-11-30,23975.383
2020-12-01,24368.918
2020-12-02,24446.033
2020-12-03,24694.781
2020-12-04,25226.346
2020-12-07,25410.322
2020-12-08,25564.318
2020-12-09,25284.742
2020-12-10,25306.115
2020-12-11,25151.879
2020-12-14,25792.412
2020-12-15,25709.416
2020-12-16,25976.107
2020-12-17,26283.121
2020-12-18,25997.83
2020-12-21,26348.43
2020-12-22,26269.457
2020-12-23,26358.887
2020-12-24,26075.641
2020-12-25,26159.756
2020-12-28,26846.309
2020-12-29,26534.768
2020-12-30,27062.605
2020-12-31,27435.063
2021-01-04,28521.318
2021-01-05,29974.877
2021-01-06,30214.602
2021-01-07,30609.195
2021-01-08,29759.559
2021-01-11,28786.436
2021-01-12,29430.855
2021-01-13,29098.408
2021-01-14,28352.186
2021-01-15,27787.934
2021-01-18,27734.268
2021-01-19,27175.205
2021-01-20,27349.951
2021-01-21,27957.543
2021-01-22,27925.656
2021-01-25,28987.832
2021-01-26,28748.457
2021-01-27,28500.461
2021-01-28,27972.465
2021-01-29,27926.834
2021-02-01,28017.006
2021-02-02,28882.258
2021-02-03,29053.217
2021-02-04,29131.295
2021-02-05,29401.598
2021-02-08,29990.273
2021-02-09,30717.07
